MeetingID,MeetingDate,TrackName,RaceNumber,RaceTime,Distance,GreyhoundID,GreyhoundName,Box,CurrentOdds,CareerPrizeMoney,IsWinner,HistAvgSplit,HistAvgPace,BoxAdj,PredictedSplit,RaceKey,PIRRank,PaceRank,IsPIRLeader,IsPaceLeader,IsPaceTop3,HasMoney,InOddsRange,Stake,Return,Profit,FlatProfit
15540,2020-01-25,Ipswich,5,2020-01-25T00:00:00.000Z,520,1633328,GOOD VIBRATIONS,1,4.8,32420.0,0,4.6,-14.031811188410924,-0.3,4.3,15540_R5,1.0,1.0,True,True,True,True,True,0.75,0.0,-0.75,-1.0
15540,2020-01-25,Ipswich,5,2020-01-25T00:00:00.000Z,520,1633328,GOOD VIBRATIONS,1,4.8,32420.0,0,4.6,-12.880226879282612,-0.3,4.3,15540_R5,1.0,3.0,True,False,True,True,True,0.75,0.0,-0.75,-1.0
15543,2020-01-27,Albion Park,4,2020-01-27T00:00:00.000Z,520,1627676,MAGIC GYPSY,8,7.0,54635.0,0,3.6,-15.781492357718054,0.3,3.9,15543_R4,1.0,3.0,True,False,True,True,True,1.0,0.0,-1.0,-1.0
15543,2020-01-27,Albion Park,4,2020-01-27T00:00:00.000Z,520,1627676,MAGIC GYPSY,8,7.0,54635.0,0,3.6,-18.47976280567325,0.3,3.9,15543_R4,1.0,1.0,True,True,True,True,True,1.0,0.0,-1.0,-1.0
15543,2020-01-27,Albion Park,6,2020-01-27T00:00:00.000Z,600,1632967,TECHNO HORNET,5,8.5,73725.0,0,4.8,-10.042264485061038,0.0,4.8,15543_R6,1.0,3.0,True,False,True,True,True,1.0,0.0,-1.0,-1.0
15543,2020-01-27,Albion Park,6,2020-01-27T00:00:00.000Z,600,1632967,TECHNO HORNET,5,8.5,73725.0,0,4.8,-11.22192169238868,0.0,4.8,15543_R6,1.0,1.0,True,True,True,True,True,1.0,0.0,-1.0,-1.0
15545,2020-01-28,Ipswich,6,2020-01-28T00:00:00.000Z,520,1633103,TIPSY FOUR,7,17.0,61660.0,0,5.2,-13.796573428632929,0.2,5.4,15545_R6,1.0,1.0,True,True,True,True,True,1.5,0.0,-1.5,-1.0
15545,2020-01-28,Ipswich,6,2020-01-28T00:00:00.000Z,520,1633103,TIPSY FOUR,7,17.0,61660.0,0,5.2,-12.789153406070149,0.2,5.4,15545_R6,1.0,3.0,True,False,True,True,True,1.5,0.0,-1.5,-1.0
15549,2020-01-30,Albion Park,10,2020-01-30T00:00:00.000Z,520,1632892,DANIEL'S LOSS,4,7.0,52065.0,0,3.0,-21.276293607000145,0.0,3.0,15549_R10,1.0,1.0,True,True,True,True,True,1.0,0.0,-1.0,-1.0
15485,2020-01-25,Richmond,11,2020-01-25T00:00:00.000Z,330,1626982,LEGENDARY OPAL,3,4.2,52927.5,0,1.8,-4.664707633104954,-0.1,1.7,15485_R11,1.0,3.0,True,False,True,True,True,0.75,0.0,-0.75,-1.0
