RaceDate,GreyhoundName,TrackName,StartingPrice,WeightedScore,PaceScore,FormScore,ActualWinner,Profit
2025-06-03,FLASH GYPSY,Mandurah,2.8,0.85,1.0,0.5,0,-1.0
2025-06-05,POLE SHUFFLE,Mandurah,2.8,0.6850344873781179,0.9786206962544541,0.0,0,-1.0
2025-06-08,HERE COMES DEZEL,Sale,2.5,0.6116317321786865,0.6166167602552665,0.6,0,-1.0
2025-06-08,FEIKUAI CALVIN,Healesville,4.0,0.6358997663663848,0.651285380523407,0.6,0,-1.0
2025-06-08,SIR CAPULET,Healesville,3.2,0.6112780212129761,0.7018257445899659,0.4,0,-1.0
2025-06-08,FIFTY SHORT,Grafton,3.3,0.697470434978573,0.653529192826533,0.8,0,-1.0
2025-06-08,DIVORCE SOURCE,Grafton,2.6,0.6522802817719127,0.5889718311027324,0.8,1,1.6
2025-06-08,MICK THE MASTER,Gunnedah,2.6,0.6113651026213246,0.6162358608876066,0.6,1,1.6
2025-06-08,IMPERIAL CHOP,Gunnedah,5.0,0.6570030690584949,0.5957186700835643,0.8,0,-1.0
2025-06-08,OUT OF STYLE,Gunnedah,3.2,0.672443898829036,0.6177769983271942,0.8,0,-1.0
2025-06-08,MANILA GHOST,Gunnedah,3.6,0.7229246917615777,0.6041781310879681,1.0,0,-1.0
2025-06-08,COME ON KILKENNY,Mount Gambier,2.9,0.6413916320970694,0.6591309029958135,0.6,1,1.9
2025-06-09,FORTUNE HUNTER,Maitland,2.7,0.7439782483019609,0.6342546404313728,1.0,0,-1.0
2025-06-09,ASTON MADDOX,Northam,5.0,0.7102646902924548,0.6718067004177927,0.8,0,-1.0
2025-06-09,RAPIDO VITO,Maitland,2.6,0.6356895244709142,0.5652707492441632,0.8,1,1.6
2025-06-09,REIKO SURGE,Shepparton,3.5,0.6199669098052708,0.6285241568646727,0.6,0,-1.0
2025-06-10,FLASH GYPSY,Mandurah,2.7,0.769016012312347,0.9271657318747814,0.4,0,-1.0
2025-06-10,ELLA'S DREAM,Warragul,3.2,0.6372311244794451,0.6531873206849216,0.6,0,-1.0
2025-06-10,HYPERSPACE,Horsham,4.6,0.6090065821267332,0.548580831609619,0.75,0,-1.0
2025-06-10,JUDI STARLINE,Townsville,5.0,0.6194594572335759,0.6277992246193941,0.6,0,-1.0
2025-06-10,TOTAL FRANKY,Townsville,2.8,0.6100550341343665,0.6143643344776664,0.6,0,-1.0
2025-06-10,HARA'S KITANA,Q1 Lakeside,4.2,0.6652020803464371,0.6074315433520532,0.8,0,-1.0
2025-06-11,AUSSIE SIGMA,Cannington,5.0,0.6796531336664212,0.7137901909520303,0.6,0,-1.0
2025-06-11,GLORIA'S ENTITY,Ballarat,3.5,0.6127316116126195,0.6181880165894564,0.6,0,-1.0
2025-06-11,NYAH NYAH DEMON,Ballarat,3.5,0.6173810639197992,0.6248300913139989,0.6,0,-1.0
2025-06-11,WARIO,Ballarat,3.6,0.7166905793373322,0.6809865419104745,0.8,1,2.6
2025-06-11,MICHIGAN,Cannington,5.0,0.6376103409264872,0.6537290584664103,0.6,0,-1.0
2025-06-11,SPEEDY CRUELLA,Cannington,4.0,0.6518223440364133,0.8454604914805903,0.2,0,-1.0
2025-06-12,INTREPID BALE,Sandown Park,2.8,0.61462840475247,0.6208977210749572,0.6,0,-1.0
2025-06-12,HOLYFIELD CHIC,Warrnambool,3.5,0.6197111993362462,0.5995874276232089,0.6666666666666665,0,-1.0
2025-06-12,FLASH ON BY,Wentworth Park,2.7,0.6420974858848747,0.5744249798355353,0.8,0,-1.0
2025-06-12,SELECT AIRLEY,Sandown Park,4.8,0.6195635968658201,0.6279479955226002,0.6,0,-1.0
2025-06-12,TARAWI THERESE,Sandown Park,3.0,0.7222554621423681,0.6889363744890974,0.8,1,2.0
2025-06-12,KINGSBRAE BRETT,Casino,4.8,0.6002210050550216,0.6003157215071737,0.6,1,3.8
2025-06-12,CANYA MAYHEM,Sandown Park,4.6,0.6725861369387968,0.6751230527697097,0.6666666666666665,1,3.5999999999999996
2025-06-12,BORNEO BRAVE,Q1 Lakeside,4.6,0.6622744812283552,0.6032492588976504,0.8,0,-1.0
2025-06-12,GAMBELLA,Q2 Parklands,3.6,0.6217769770834076,0.631109967262011,0.6,0,-1.0
2025-06-12,BOURNE MODEL,Q2 Parklands,4.4,0.7018930704043322,0.6598472434347604,0.8,0,-1.0
2025-06-12,RED DIRT ROAD,Q2 Parklands,4.2,0.6178371892871097,0.6254816989815855,0.6,1,3.2
2025-06-12,ZIG ZAG MAN,Q2 Parklands,4.0,0.6093656669602456,0.6133795242289223,0.6,0,-1.0
2025-06-12,POLE SHUFFLE,Mandurah,4.2,0.7,1.0,0.0,0,-1.0
2025-06-12,SOOTY KEEPING,Q2 Parklands,5.0,0.6971330501026467,0.6530472144323526,0.8,0,-1.0
2025-06-12,CUMBRIA JACK,Q2 Parklands,4.6,0.6150429303314233,0.621489900473462,0.6,0,-1.0
2025-06-13,SUNSET AMANDA,Mandurah,4.8,0.6627535608210795,0.8610765154586851,0.2,0,-1.0
2025-06-13,JULY SHE LIED,Geelong,4.5,0.6075334476506176,0.6107620680723109,0.6,0,-1.0
2025-06-13,HAPPY AND NUMB,Geelong,4.4,0.6297464703735985,0.6424949576765694,0.6,0,-1.0
2025-06-13,DAPPER CHAP,Geelong,3.3,0.6288675134198642,0.6126678763140919,0.6666666666666665,0,-1.0
2025-06-13,CALYPSO ETHICS,Goulburn,3.7,0.6076494850222807,0.6109278357461153,0.6,0,-1.0
2025-06-13,SUBLIME,Mandurah,2.6,0.6113076884886696,0.6161538406980994,0.6,0,-1.0
2025-06-13,SKETCHY DEMOS,Warragul,2.6,0.6081080377498589,0.6115829110712271,0.6,1,1.6
2025-06-14,OUT OF STYLE,Wentworth Park,4.2,0.672443898829036,0.6177769983271942,0.8,0,-1.0
2025-06-14,ZIPPING GRINCH,Wentworth Park,2.5,0.658243483210647,0.5974906903009242,0.8,0,-1.0
2025-06-14,BEAU RIPPLE,Q1 Lakeside,5.0,0.6082652539386746,0.5832360770552496,0.6666666666666665,0,-1.0
2025-06-14,PAW BARTON,The Meadows,3.8,0.6018397311870233,0.6026281874100333,0.6,1,2.8
2025-06-14,CANYA STRIKER,The Meadows,3.7,0.6963357156720109,0.65190816524573,0.8,0,-1.0
2025-06-14,WEST ON SIDNEY,Cannington,2.6,0.652981607622379,0.5899737251748272,0.8,0,-1.0
2025-06-15,TELL ME AGAIN,Richmond,2.8,0.6065579031652224,0.609368433093175,0.6,1,1.7999999999999998
2025-06-15,DAWNY BY NAME,Broken Hill,2.6,0.7177375653100599,0.6824822361572286,0.8,1,1.6
2025-06-15,CALYPSO ROGUE,Grafton,2.8,0.7047017711150376,0.6638596730214823,0.8,1,1.7999999999999998
2025-06-15,SERIAL STICKER,Grafton,3.8,0.6336978136366437,0.7338540194809196,0.4,0,-1.0
2025-06-15,DIVORCE SOURCE,Grafton,4.0,0.6802025816400624,0.628860830914375,0.8,1,3.0
2025-06-15,ON A DIME,Richmond,3.0,0.6254827237288194,0.6078324624697422,0.6666666666666665,1,2.0
2025-06-15,FEDERAL AUSSIE,Richmond,3.1,0.6211274734585926,0.6301821049408467,0.6,0,-1.0
2025-06-15,QWERTY,Broken Hill,4.6,0.7081312397917243,0.6687589139881776,0.8,0,-1.0
2025-06-15,COOKIE MAN,Sale,3.0,0.8336738944966322,0.7623912778523319,1.0,0,-1.0
2025-06-15,PAW WHISTLER,Sale,3.8,0.7288549908504327,0.6983642726434753,0.8,1,2.8
2025-06-16,RIVERSDALE MICK,Sandown Park,3.0,0.6307126631930913,0.6438752331329877,0.6,0,-1.0
2025-06-16,ESSENCE,Shepparton,3.2,0.6113751574825114,0.701964510689302,0.4,1,2.2
2025-06-16,ASTON GLEAM,Sandown Park,3.1,0.647355184853583,0.6676502640765473,0.6,0,-1.0
2025-06-16,FEIKUAI CALVIN,Sandown Park,3.3,0.6718065880512735,0.7025808400732478,0.6,0,-1.0
2025-06-16,ALACRITY DAVE,Q2 Parklands,2.5,0.6267772991552065,0.6096818559360093,0.6666666666666665,0,-1.0
2025-06-17,PEAKY AVENGER,Warragul,3.4,0.6000545043754082,0.6000778633934404,0.6,0,-1.0
2025-06-17,DOCHERTY,Warragul,2.6,0.6423703019403286,0.6605290027718981,0.6,0,-1.0
2025-06-17,YUNDERUP SUN,Mandurah,2.8,0.6244182611887907,0.6348832302697012,0.6,0,-1.0
2025-06-17,TALK IS CHEAP,Warragul,2.6,0.6441053579029493,0.6630076541470705,0.6,0,-1.0
2025-06-17,PAW TONK,Horsham,4.1,0.7470986001293496,0.7244265716133567,0.8,1,3.0999999999999996
2025-06-17,CUSTARD'S SON,Townsville,3.5,0.7235648590083764,0.6908069414405378,0.8,0,-1.0
2025-06-17,HARA'S KITANA,Q1 Lakeside,5.0,0.6055879116074271,0.607982730867753,0.6,0,-1.0
2025-06-17,RAFFA,Q1 Lakeside,3.6,0.6662452380856727,0.6089217686938182,0.8,0,-1.0
2025-06-17,REVVED UP,Bulli,2.9,0.764147760798028,0.6630682297114686,1.0,0,-1.0
2025-06-17,GINNY RIGGS,Mandurah,3.8,0.7199365305681783,0.857052186525969,0.4,1,2.8
2025-06-17,FEDERAL BULLET,Townsville,3.5,0.6043863348429939,0.6919804783471342,0.4,1,2.5
2025-06-17,FADE TO BLACK,Warragul,3.4,0.6566577032142499,0.680939576020357,0.6,1,2.4
2025-06-18,VOLTAGE STRIKE,Ballarat,4.0,0.6228550947691984,0.6326501353845692,0.6,0,-1.0
2025-06-18,ASTON BARTON,Ballarat,2.8,0.6280577874046074,0.6400825534351535,0.6,0,-1.0
2025-06-18,PAW BARTON,Ballarat,3.2,0.6102665963976861,0.6146665662824087,0.6,1,2.2
2025-06-18,TORNADO TAHLIA,Ballarat,3.2,0.6066867840009844,0.6952668342871207,0.4,0,-1.0
2025-06-18,ZIPPING DEKKERS,Richmond,2.6,0.6733358223290091,0.7047654604700132,0.6,1,1.6
2025-06-18,RIDING SOLO,Rockhampton,2.8,0.6190981034939603,0.5987115764199434,0.6666666666666665,0,-1.0
2025-06-18,WEEKEND SCOTCH,Taree,2.6,0.6095794516273628,0.6136849308962327,0.6,1,1.6
2025-06-18,PIPPA,Taree,3.9,0.6073912402918579,0.6105589147026541,0.6,1,2.9
2025-06-18,BRUISER MY UNCLE,Cannington,2.7,0.778673849088403,0.9409626415548614,0.4,0,-1.0
2025-06-18,CYNTHIA KEEPING,Cannington,3.2,0.8799999999999999,1.0,0.6,0,-1.0
2025-06-18,AWESOME RETURN,Taree,2.9,0.6590664268202859,0.59866632402898,0.8,0,-1.0
2025-06-18,PIGEON'S DESIRE,Temora,2.9,0.6421896045558215,0.6602708636511737,0.6,0,-1.0
2025-06-18,MY THREE BOYS,Temora,3.2,0.6020455252589065,0.6886364646555808,0.4,0,-1.0
2025-06-18,LOST AT SEA,Gawler,2.6,0.6110375231709501,0.6157678902442144,0.6,0,-1.0
2025-06-18,CLEO'S STAR,Meadows (MEP),3.0,0.7076141445501902,0.5823059207859862,1.0,0,-1.0
2025-06-19,SHIMA TIME,Sandown Park,4.2,0.6371142138262889,0.6530203054661271,0.6,1,3.2
2025-06-19,MASSETER,Warrnambool,3.4,0.621384523997881,0.7162636057112586,0.4,1,2.4
2025-06-19,FLORENCE FIRST,Dapto,2.7,0.6043900943582838,0.606271563368977,0.6,0,-1.0
2025-06-19,REBORN GYPSY,Wentworth Park,3.2,0.7456603035335274,0.6366575764764677,1.0,0,-1.0
2025-06-19,MY NAME'S EDEN,Sandown Park,4.5,0.6368152253675998,0.738307464810857,0.4,0,-1.0
2025-06-19,ASCEND ECSTATIC,Sandown Park,3.1,0.6334576124999547,0.6477965892856496,0.6,0,-1.0
2025-06-19,PANAMA RHODE,Sandown Park,3.8,0.6124016960723295,0.6177167086747566,0.6,0,-1.0
2025-06-19,SUPER LEON,Q1 Lakeside,2.8,0.6685424823794,0.6122035462562856,0.8,1,1.7999999999999998
2025-06-19,SELECT MILLS,Mandurah,4.4,0.6560833571220696,0.6801190816029565,0.6,0,-1.0
2025-06-19,MIDNIGHT SUN,Angle Park,2.8,0.7245267249162268,0.6921810355946099,0.8,0,-1.0
2025-06-19,PRINCESS TILLEY,Angle Park,2.6,0.6086349437602852,0.6123356339432646,0.6,1,1.6
2025-06-19,AFIRE,Angle Park,3.9,0.7186891673231854,0.6838416676045508,0.8,0,-1.0
2025-06-19,BORACAY SUMMER,Q2 Parklands,3.3,0.660601111043202,0.6865730157760028,0.6,0,-1.0
2025-06-19,LATE NIGHT NEWS,Q2 Parklands,3.5,0.6252959139388359,0.6361370199126227,0.6,0,-1.0
2025-06-19,RED DIRT ROAD,Q2 Parklands,4.0,0.7042439621800016,0.6632056602571452,0.8,0,-1.0
2025-06-19,GOLD FORCE,Q2 Parklands,3.7,0.7282543206470089,0.7832204580671557,0.6,0,-1.0
2025-06-19,BOURNE MODEL,Q2 Parklands,3.8,0.6883508496141604,0.7262154994488006,0.6,0,-1.0
2025-06-19,MEPUNGA REWARD,Q2 Parklands,2.7,0.675786514697327,0.7082664495676101,0.6,0,-1.0
2025-06-19,APILLA,Q2 Parklands,3.3,0.618364566793925,0.6262350954198931,0.6,0,-1.0
2025-06-19,AMRON MICK,Sandown Park,4.9,0.6306336853807719,0.6437624076868171,0.6,1,3.9000000000000004
2025-06-19,RAIDER'S GUIDE,Q2 Parklands,3.7,0.6404249581512365,0.6577499402160522,0.6,1,2.7
2025-06-19,PAW OSWALD,Q2 Parklands,5.0,0.6808332859294148,0.7154761227563069,0.6,0,-1.0
2025-06-20,BEAST CUT LOOSE,Murray Bridge (MBR),4.0,0.6235204475941309,0.6336006394201871,0.6,0,-1.0
2025-06-20,FOUR BARRYS,The Gardens,4.4,0.6493198396007893,0.6704569137154133,0.6,0,-1.0
2025-06-20,SLIM RUSTY,Murray Bridge (MBR),3.7,0.6452189642507199,0.6645985203581714,0.6,0,-1.0
2025-06-21,SCENIC SUNDARI,Q1 Lakeside,2.5,0.6691710919969334,0.6131015599956192,0.8,0,-1.0
2025-06-21,WEEKEND SCOTCH,Taree,2.7,0.6095794516273628,0.6136849308962327,0.6,0,-1.0
2025-06-21,HUDSON,Wentworth Park,4.0,0.6364451850879651,0.5663502644113788,0.8,0,-1.0
2025-06-21,BADGER'S BEAST,Grafton,2.5,0.7616818254610602,0.7452597506586576,0.8,1,1.5
2025-06-21,FLASH JET,Grafton,2.6,0.7331366444825731,0.7044809206893903,0.8,0,-1.0
2025-06-21,TRACKER,The Gardens,3.9,0.6354203084160228,0.6506004405943183,0.6,0,-1.0
2025-06-21,ASTON SMOKEY,Cannington,3.9,0.6083523104598829,0.6119318720855471,0.6,1,2.9
2025-06-21,IRON WORKS,Cannington,4.0,0.633111123971605,0.6473016056737214,0.6,0,-1.0
2025-06-21,SUNSET AMANDA,Cannington,5.0,0.7355343201452689,0.9650490287789556,0.2,0,-1.0
2025-06-21,CALYPSO ROGUE,Grafton,5.0,0.7047017711150376,0.6638596730214823,0.8,0,-1.0
2025-06-22,JUST LIKE NU,Albion Park,3.1,0.610083580386316,0.8715479719804515,0.0,0,-1.0
2025-06-22,RINGBARK RANGE,Albion Park,4.6,0.7392752076784095,0.8846788681120136,0.4,0,-1.0
2025-06-22,TUTA QUEEN,Albion Park,3.9,0.6224491705071461,0.8892131007244944,0.0,0,-1.0
2025-06-22,CAKE IS YUMMY,Albion Park,3.2,0.6120549140420334,0.8743641629171905,0.0,0,-1.0
2025-06-22,RINGBARK SCARY,Albion Park,5.0,0.6229283544411002,0.804183363487286,0.2,0,-1.0
2025-06-22,LANE CUTTER,Albion Park,2.9,0.6182066171515412,0.7974380245022018,0.2,1,1.9
2025-06-22,CLIFF CLAVIN,Albion Park,3.0,0.7050070730809667,0.8357243901156668,0.4,0,-1.0
2025-06-22,BETTER LIGHT UP,Dubbo,5.0,0.6201878960888314,0.8859827086983306,0.0,0,-1.0
2025-06-22,DANIEL KEEPING,Dubbo,5.0,0.6690920907181337,0.8701315581687624,0.2,0,-1.0
2025-06-22,TURUVA,Albion Park,3.1,0.6883220005709092,0.8404600008155846,0.33333333333333326,0,-1.0
2025-06-22,DANNY WHIZZ BANG,Dubbo,3.0,0.7309953435207768,0.8728504907439669,0.4,1,2.0
2025-06-22,CASH RUN,Dubbo,2.8,0.6932966948263475,0.9047095640376395,0.2,0,-1.0
2025-06-22,GREENER PASTURES,Dubbo,3.5,0.7446882582782759,0.8924117975403941,0.4,1,2.5
2025-06-22,SWIFT BONNIE,Dubbo,5.0,0.6229413277883667,0.8899161825548098,0.0,0,-1.0
2025-06-22,SWIFT BREE,Dubbo,3.4,0.615652923015409,0.8795041757362986,0.0,0,-1.0
2025-06-22,ORANA RINGO,Dubbo,4.8,0.6815343752025216,0.8879062502893166,0.2,0,-1.0
2025-06-22,MY BELLA SCOTCH,Albion Park,2.9,0.6597888743146314,0.8568412490209021,0.2,1,1.9
2025-06-22,WEBLEC JEWEL,Albion Park,4.4,0.6592435397379879,0.8560621996256971,0.2,0,-1.0
2025-06-22,SERRAI,Bet Deluxe Capalaba,3.1,0.6470506795337816,0.8386438279054023,0.2,1,2.1
2025-06-22,DUSTY JAZZ,Bet Deluxe Capalaba,3.2,0.7653574198992271,0.8790820284274674,0.5,0,-1.0
2025-06-22,BRIDGE UP BABY,Rockhampton,4.8,0.6178520829351124,0.8826458327644464,0.0,0,-1.0
2025-06-22,AT THE ROXY,Rockhampton,4.6,0.686665725797887,0.8952367511398385,0.2,1,3.5999999999999996
2025-06-22,WHERE'S MY BEER,Rockhampton,5.0,0.6574612228150345,0.8535160325929065,0.2,0,-1.0
2025-06-22,ROCKY RIDE,Rockhampton,4.2,0.7253469108888355,0.864781301269765,0.4,0,-1.0
2025-06-22,ANY REASON,Rockhampton,4.0,0.6025771156495507,0.8608244509279297,0.0,0,-1.0
2025-06-22,BOULDER BEACH,Rockhampton,2.6,0.6009785729903411,0.8585408185576301,0.0,1,1.6
2025-06-22,FROM THE DISCO,Dubbo,4.6,0.8043927359939613,0.8919896228485161,0.6,0,-1.0
2025-06-22,HENDRIX DUTTON,Bet Deluxe Capalaba,5.0,0.635371697897282,0.9076738541389744,0.0,0,-1.0
2025-06-22,CUNNING KICK,Bet Deluxe Capalaba,4.2,0.6097065363482767,0.8710093376403952,0.0,1,3.2
