RaceDate,GreyhoundName,TrackName,TrackTier,StartingPrice,WeightedScore,PaceScore,FormScore,ActualWinner,Profit
2025-06-18,CYNTHIA KEEPING,Cannington,metro,3.2,0.8799999999999999,1.0,0.6,0,-1.0
2025-08-22,GRAND CHIEF,Angle Park,metro,3.0,0.94,1.0,0.8,0,-1.0
2025-09-04,HOTEL WHISKY ONE,Dapto,provincial,2.7,0.94,1.0,0.8,1,1.7000000000000002
2025-09-10,IT'S MIKADO TIME,Ballarat,provincial,2.8,0.8799999999999999,1.0,0.6,1,1.7999999999999998
2025-09-14,MILE A MINUTE,Healesville,country,2.8,0.94,1.0,0.8,0,-1.0
2025-09-25,MALLEE BEAUTY,Angle Park,metro,3.9,0.94,1.0,0.8,1,2.9
2025-10-10,DASHING SLAY,Angle Park,metro,3.7,0.82,1.0,0.4,0,-1.0
2025-10-16,MILES ON IT,Q1 Lakeside,provincial,3.3,0.94,1.0,0.8,1,2.3
2025-10-31,CANYA EXCITE ME,Geelong,provincial,2.5,0.94,1.0,0.8,0,-1.0
2025-11-06,MATCHBOX BEAST,Sandown Park,metro,4.0,0.94,1.0,0.8,1,3.0
2025-11-30,KNEE DEEP,Healesville,country,3.0,0.82,1.0,0.4,0,-1.0
2025-11-30,FIRE ME UP,Maitland,provincial,3.6,0.8469725209774346,0.952817887110621,0.6,0,-1.0
