Track,Race#,Distance,Box,Dog Name,HistoricalPaceAvg,NumPaces,MostRecentPace,Best3RacePace,Last5PaceValues,RecentWins,RecentRaces,WinRate%,Last5Results,StartingPrice,PaceScore(0-1),FormScore(0-1),WeightedScore(0-1)
Warragul,6,460,7,BLUE LABUBU,3.3284,5.0,1.1313,6.5521,1.13|6.55|2.47|-0.38|6.86,4,5,80.0,WWW2W,2.74,0.8665,0.8,0.8465
Mandurah,10,400,1,INFRARED GEM,8.6674,5.0,-7.2449,81.5663,-7.24|-3.75|81.57|-20.97|-6.26,1,5,20.0,57W54,3.6,1.0,0.2,0.76
Townsville,1,380,7,FEDERAL ICEMAN,-2.6594,5.0,-0.5517,-0.5517,-0.55|-3.97|-2.4|-5.37|-1.0,4,5,80.0,W3WWW,2.76,0.7167,0.8,0.7417
Townsville,4,380,4,UNTAMED VELOCITY,-1.2167,5.0,-1.5815,-1.5815,-1.58|-2.24|-3.19|0.9|0.02,3,5,60.0,23WWW,2.4,0.7528,0.6,0.707
Warragul,9,400,4,ZIPPING ARVADA,-1.8605,5.0,-4.3263,2.9557,-4.33|2.96|-0.16|-2.23|-5.54,3,5,60.0,6WWW4,4.6,0.7367,0.6,0.6957
Gosford,3,388,2,NOVA REIGN,-5.6654,5.0,-4.4067,-0.5149,-4.41|-8.03|-0.51|-9.7|-5.67,4,5,80.0,WWW2W,2.68,0.6416,0.8,0.6891
Bulli,5,400,6,WHISTLE WAVE,-2.2464,5.0,-3.9848,-2.8569,-3.98|-4.67|-2.86|-0.97|1.25,3,5,60.0,W32WW,2.86,0.7271,0.6,0.689
Townsville,10,380,4,MAISIE MOO MOO,1.0026,5.0,-1.8019,3.922,-1.8|3.92|2.31|3.3|-2.72,2,5,40.0,42WW3,2.26,0.8083,0.4,0.6858
Townsville,5,498,8,NAVABI,-2.6992,5.0,-6.078,3.8848,-6.08|3.88|-8.12|0.45|-3.63,3,5,60.0,8W3WW,4.8,0.7157,0.6,0.681
Townsville,10,380,8,SOUTHPAW MCGRAW,-0.3303,5.0,-2.9447,3.0276,-2.94|0.78|3.03|-2.68|0.17,2,5,40.0,53WW3,2.66,0.775,0.4,0.6625
Townsville,2,380,4,STARRY RAYMAR,-0.5614,5.0,-2.5438,-1.6817,-2.54|-1.68|-7.55|5.7|3.27,2,5,40.0,422WW,2.12,0.7692,0.4,0.6584
Bulli,5,400,2,CLEAN ENGINES,-5.7404,5.0,-1.6711,-1.6711,-1.67|-7.06|-10.84|-3.01|-6.12,3,5,60.0,WW42W,2.46,0.6397,0.6,0.6278
Townsville,5,498,3,SLIM NIKITA,-6.0017,5.0,-7.9447,-3.7923,-7.94|-3.79|-5.02|-8.92|-4.34,3,5,60.0,32WWW,3.4,0.6332,0.6,0.6232
Mandurah,8,400,3,HUDSON,-6.121,5.0,-1.7736,-1.4704,-1.77|-1.47|-3.84|-2.75|-20.77,3,5,60.0,2WWW5,2.32,0.6302,0.6,0.6211
Warragul,10,400,2,ASTON BOOST,-3.0709,5.0,-5.665,3.3092,-5.66|3.31|-3.5|0.2|-9.7,2,5,40.0,53WW4,3.3,0.7065,0.4,0.6145
Townsville,6,498,2,SPEEDY BEN,-3.8316,5.0,-9.8019,1.0276,-9.8|-3.51|1.03|-2.43|-4.45,2,5,40.0,662WW,2.86,0.6874,0.4,0.6012
Townsville,1,380,1,ASTON ELISHA,-4.1863,5.0,-1.5422,-1.5422,-1.54|-3.87|-1.72|-10.09|-3.72,2,5,40.0,W2W52,4.5,0.6786,0.4,0.595
Townsville,4,380,2,GIDGEE BUG,-4.5027,5.0,-7.9803,-1.0168,-7.98|-1.02|-6.15|-7.26|-0.1,2,5,40.0,5W65W,3.4,0.6706,0.4,0.5895
Warragul,9,400,2,IN ACTION,-1.5926,5.0,2.8168,2.8168,2.82|-7.1|-2.17|2.23|-3.74,1,5,20.0,22W22,1.92,0.7434,0.2,0.5804
Gosford,5,515,6,GOLDEN PHARAOH,-8.472,5.0,-6.6607,-3.7435,-6.66|-3.74|-6.05|-10.84|-15.06,3,5,60.0,3WW4W,2.46,0.5714,0.6,0.58
Townsville,3,380,8,FARMOR JACUZZIS,-5.4542,5.0,-1.2389,-0.3305,-1.24|-0.33|-10.24|-8.16|-7.3,2,5,40.0,2W5W3,2.32,0.6469,0.4,0.5728
Townsville,5,498,4,CAWBOURNE SLICK,-5.503,5.0,-4.3733,-0.6867,-4.37|-6.22|-0.69|-7.25|-8.98,2,5,40.0,W4W54,3.7,0.6456,0.4,0.5719
Townsville,7,498,7,PHOENIX SILVER,-5.5955,5.0,-3.8019,-1.9352,-3.8|-1.94|-10.15|-10.09|-2.0,2,5,40.0,2W34W,1.83,0.6433,0.4,0.5703
Gosford,6,515,7,UNLEASH BEETSON,-5.9543,5.0,-7.2321,-6.5185,-7.23|-8.24|-6.52|-0.45|-7.34,2,5,40.0,422WW,2.36,0.6343,0.4,0.564
Warragul,9,400,1,PAW QUARK,-2.7353,5.0,-4.5014,-0.8468,-4.5|-3.89|-0.85|-5.75|1.31,1,5,20.0,62W42,3.4,0.7148,0.2,0.5604
