TrackName,RaceNumber,Distance,BoxNumber,GreyhoundName,HistoricalPace,CurrentOdds
Ballarat,1,450,1,KIWI FRED,,
Ballarat,1,450,2,SERENA KADE,,
Ballarat,1,450,3,QUEEN DARCIE,,
Ballarat,1,450,4,THUNDERING THEO,,
Ballarat,1,450,5,JUNEAU QUADRANT,,
Ballarat,1,450,6,YOUR MATE JAGGER,,
Ballarat,1,450,7,REINDEER JACK,,
Ballarat,1,450,8,MAGIC BOCCA,,
Ballarat,2,450,1,STARBORN,,
Ballarat,2,450,2,REV MARTIN,-19.442369930772543,
Ballarat,2,450,3,GRAPEFRUIT ZIPPY,,
Ballarat,2,450,4,WHERE'S THE GOLD,,
Ballarat,2,450,5,IVORY NARA,-13.68836463417692,
Ballarat,2,450,6,THREE VOTES NICK,,
Ballarat,2,450,7,WYONG PATRICK,,
Ballarat,2,450,8,TRUST IN PROCESS,,
Ballarat,3,390,1,HEY LACEY,,
Ballarat,3,390,2,THRILL SEEKER,,
Ballarat,3,390,3,JILLY HILL,,
Ballarat,3,390,4,PAW ORENTHAL,,
Ballarat,3,390,5,WHITE SCOTCH,,
Ballarat,3,390,6,SAVE ME GARY,,
Ballarat,3,390,7,COMMANCHE JACK,,
Ballarat,3,390,8,RUPEE STAR,,
Ballarat,4,390,1,PANIPUCCI,-12.058228355603962,
Ballarat,4,390,2,MISS KOBLENZ,-5.908879326860583,
Ballarat,4,390,3,PAW ALIA,-9.217781181556102,
Ballarat,4,390,4,PAW PRYDI,-8.671570811651321,
Ballarat,4,390,5,HEATHCOTE RUPEE,,
Ballarat,4,390,6,PAW SAPPHIRE,,
Ballarat,4,390,7,PAW AMALFI,-13.594021531455038,
Ballarat,4,390,8,IMPRESS UBUD,-12.467777126810917,
Ballarat,5,390,1,PLAY LAB,-1.3343237852292174,
Ballarat,5,390,2,LIGHTNING RANGE,-4.639727684143962,
Ballarat,5,390,3,SPRING LASSEN,-3.097968012208329,
Ballarat,5,390,4,SALTY SNOOP,-12.315665401652803,
Ballarat,5,390,5,SPECIAL TEAMS,-6.291821668764495,
Ballarat,5,390,6,KING OF KINDRED,-3.721505699065213,
Ballarat,5,390,7,PAW RIVAL,-2.6112266113310922,
Ballarat,5,390,8,MYRNIONG STORM,-1.0350710021442207,
Ballarat,6,450,1,COOKIE MAN,-1.8218612641123837,
Ballarat,6,450,2,SHIMA TIME,-11.671631317855342,
Ballarat,6,450,3,KIWI JAY,-5.291167252751693,
Ballarat,6,450,4,EPIC STORY,-8.364390779426614,
Ballarat,6,450,5,REUBEN HILL,-10.709524737137983,
Ballarat,6,450,6,RETALIATION,,
Ballarat,6,450,7,MARRAKESH,-7.909085359663834,
Ballarat,6,450,8,KIANI STAR,-11.787694133406323,
Ballarat,7,450,1,MR. JONES,,
Ballarat,7,450,2,FRED THE FOX,-23.328681347701554,
Ballarat,7,450,3,BLUE STEAK,-9.689912393591202,
Ballarat,7,450,4,MONUMENT,-5.29677159521009,
Ballarat,7,450,5,BOOTLEG TOMMY,,
Ballarat,7,450,6,COME ON LUBA,-10.174379817815112,
Ballarat,7,450,7,YAYA SALLY,,
Ballarat,7,450,8,WIZARD WATSON,,
Ballarat,8,545,1,COMPTON GOLD,-5.661015530299087,
Ballarat,8,545,2,MY DEAR FRIEND,-11.904885866756178,
Ballarat,8,545,3,HONK HONK,-9.875865102526959,
Ballarat,8,545,4,URANA PARALLAX,-7.62658206853055,
Ballarat,8,545,5,HE SHINES,-8.322174645214794,
Ballarat,8,545,6,JONI BLACK,-7.995827952246164,
Ballarat,8,545,7,MISTER MANFREDI,-11.187095346517264,
Ballarat,8,545,8,ETHANOL SECRET,-10.497487408902547,
