Dog,Date,Track,Distance,Position,FinishTime,Benchmark
WILD ONES,2025-04-22,Palmerston Nth (NZ),660,2,0.3087,545.4431187122736
GOLDSTAR HOGAN,2025-04-22,Palmerston Nth (NZ),660,3,0.4473,543.4631187122736
THRILLING SAMMY,2025-04-22,Palmerston Nth (NZ),660,4,0.6741,540.2231187122736
HOT TRUFFLE,2025-04-22,Palmerston Nth (NZ),660,5,0.8946,537.0731187122736
MYSTIC LUNA,2025-04-22,Palmerston Nth (NZ),660,6,0.9261,536.6231187122736
PERFECT SHADOWS,2025-01-23,Hobart,461,8,58.88,-467.9317202519058
EVERGLADE,2025-06-23,Launceston,515,8,60.69,-438.7587256493506
RIPPIN' WARRIOR,2025-02-18,Mandurah,300,7,42.48,-357.511857142857
BORACAY STORM,2025-10-24,Mandurah,400,8,44.58,-313.87457142857136
IMPRESS HAWKINS,2025-10-24,Mandurah,400,7,44.46,-312.1602857142857
HENDRIX RULER,2025-10-10,Palmerston Nth (NZ),375,2,0.0756,304.8367729591836
MISS THE DECK,2025-01-24,Townsville,380,8,43.3,-304.68314285714274
BIG TIME LIME,2025-10-10,Palmerston Nth (NZ),375,3,0.1638,303.57677295918364
BIG TIME TACTICS,2025-10-10,Palmerston Nth (NZ),375,2,0.2772,301.95677295918364
BIG TIME AXEL,2025-10-10,Palmerston Nth (NZ),375,4,0.3213,301.3267729591836
FLYING MOA,2025-11-27,Waikato (NZ),375,2,0.3339,301.17841269841267
BIG TIME ALY,2025-10-10,Palmerston Nth (NZ),375,3,0.3339,301.14677295918364
SPACE CONSPIRACY,2025-10-10,Palmerston Nth (NZ),375,5,0.3465,300.96677295918363
OPAWA JORDAN,2025-10-10,Palmerston Nth (NZ),375,6,0.3654,300.6967729591836
BIG TIME MARIAH,2025-10-10,Palmerston Nth (NZ),375,7,0.4032,300.1567729591836
WEETBIX AND MILO,2025-11-27,Waikato (NZ),375,3,0.4473,299.55841269841267
PORTLAND KRUGER,2025-11-27,Waikato (NZ),375,4,0.4536,299.46841269841264
BIG TIME PHIL,2025-10-10,Palmerston Nth (NZ),375,4,0.4914,298.89677295918364
SCOTCH,2025-11-27,Waikato (NZ),375,5,0.6426,296.76841269841265
ACES,2025-11-27,Waikato (NZ),375,6,0.693,296.0484126984127
BIG TIME LONDON,2025-10-10,Palmerston Nth (NZ),375,5,0.7497,295.20677295918364
KING HARVEST,2025-10-10,Palmerston Nth (NZ),375,6,0.7623,295.02677295918363
PIXIE SCOOTER,2025-11-27,Waikato (NZ),375,7,0.8127,294.3384126984127
THRILLING CARLOS,2025-10-10,Palmerston Nth (NZ),375,7,0.8694,293.49677295918366
WAERENGA JOSAY,2025-11-23,Auckland (NZ),318,2,0.1953,264.6371385585327
DYNAMIC KIWI,2025-11-23,Auckland (NZ),318,3,0.3528,262.38713855853274
AFFECTIONATELY,2025-11-23,Auckland (NZ),318,4,0.4158,261.4871385585327
JEAN GENIE,2025-11-23,Auckland (NZ),318,5,0.5985,258.8771385585327
WONDERING WHY,2025-11-23,Auckland (NZ),318,6,0.6552,258.0671385585327
CAPPIELLO,2025-11-23,Auckland (NZ),318,7,0.6678,257.8871385585327
URANA SPACE,2025-08-21,Angle Park,530,6,48.56,-254.3057142857143
GOLDSTAR COLSON,2025-01-31,Wanganui (NZ),305,2,0.126,251.8702740147783
CLIFF TOP VINNIE,2025-01-31,Wanganui (NZ),305,3,0.189,250.9702740147783
BIG TIME VANILLA,2025-01-14,Wanganui Straight (NZ),313,2,0.0315,250.76582733812947
SISTER SHADOW,2025-01-14,Wanganui Straight (NZ),313,3,0.0504,250.4958273381295
BIG TIME MAESTRO,2025-04-06,Wanganui Straight (NZ),313,2,0.063,250.3158273381295
EARNESTNESS,2025-01-31,Wanganui (NZ),305,4,0.252,250.07027401477833
INDECISIVE,2025-04-06,Wanganui Straight (NZ),313,3,0.0945,249.8658273381295
ADOBE DRAKE,2025-01-31,Wanganui (NZ),305,5,0.2835,249.62027401477832
BUMRAH'S GANGULY,2025-01-14,Wanganui Straight (NZ),313,4,0.1134,249.5958273381295
BIG TIME MARTIN,2025-04-06,Wanganui Straight (NZ),313,4,0.1134,249.5958273381295
BIG TIME NICO,2025-04-06,Wanganui Straight (NZ),313,5,0.1386,249.2358273381295
DYNAMITE BOY,2025-04-06,Wanganui Straight (NZ),313,6,0.1449,249.1458273381295
INDECISIVE,2025-01-14,Wanganui Straight (NZ),313,5,0.1638,248.8758273381295
BIG TIME TURNER,2025-01-31,Wanganui (NZ),305,6,0.4095,247.82027401477828
VICTA HOWARD,2025-08-21,Angle Park,530,5,48.0,-246.30571428571423
BOW BELLE BETH,2025-04-06,Wanganui Straight (NZ),313,7,0.3465,246.26582733812953
BIG TIME BUTLER,2025-01-14,Wanganui Straight (NZ),313,7,0.3528,246.17582733812952
KOOKABURRA BOB,2025-01-14,Wanganui Straight (NZ),313,6,0.3528,246.17582733812952
BOW BELLE BETH,2025-01-14,Wanganui Straight (NZ),313,8,0.378,245.8158273381295
SEDGEBROOK PARKA,2025-01-31,Wanganui (NZ),305,7,0.567,245.5702740147783
LAST ICEBERG,2025-02-18,Murray Bridge (MBS),300,4,32.95,-229.00271428571432
HAWKS ON TOP,2025-08-08,Mandurah,400,6,37.71,-215.73171428571428
JUNGLE DELUXE,2025-08-20,Cannington,275,3,31.4,-210.66971428571424
BIG PHANTOM,2025-06-11,Cannington,275,4,31.26,-208.66971428571426
AUREATE,2025-08-20,Cannington,275,2,31.25,-208.5268571428571
BEASTLY,2025-01-08,Cannington,275,4,31.14,-206.95542857142854
JAI BUBBA,2025-02-12,Cannington,275,5,31.12,-206.66971428571426
ELECTRIC KUNA,2025-08-27,Cannington,275,4,31.03,-205.384
NATURALLY BORN,2025-08-27,Cannington,275,3,31.02,-205.24114285714282
THAT'S SO TED,2025-10-22,Cannington,275,3,30.98,-204.66971428571426
KEY FIGURE,2025-01-26,Auckland (NZ),527,8,45.13,-204.35982814178305
BANGOR TIGER,2025-02-12,Cannington,275,4,30.95,-204.24114285714282
JUST MUST,2025-01-08,Cannington,275,3,30.91,-203.66971428571426
THINK POSITIVE,2025-02-12,Cannington,275,3,30.9,-203.5268571428571
CLIFTON JASPER,2025-08-27,Cannington,275,2,30.9,-203.5268571428571
DODGY BLUE,2025-11-19,Cannington,275,3,30.82,-202.38399999999996
ARIEL'S DRIVE,2025-10-22,Cannington,275,2,30.81,-202.2411428571428
