BACK_thresh,LAY_thresh,BACK_bets,BACK_pnl,BACK_SR,BACK_ROI,LAY_bets,LAY_pnl,LAY_SR,LAY_ROI,COMBINED_bets,COMBINED_pnl,COMBINED_ROI
0.3,0.5,331,59.41499999999999,0.07250755287009064,17.95015105740181,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39692,973.7049999999991,2.4531517686183593
0.3,0.55,331,59.41499999999999,0.07250755287009064,17.95015105740181,22678,1056.539999999999,0.8788693888349942,4.658876444130872,23009,1115.954999999999,4.850080403320436
0.3,0.6,331,59.41499999999999,0.07250755287009064,17.95015105740181,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12653,1021.4349999999993,8.072670512921832
0.3,0.65,331,59.41499999999999,0.07250755287009064,17.95015105740181,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3999,679.4049999999995,16.98937234308576
0.3,0.7,331,59.41499999999999,0.07250755287009064,17.95015105740181,586,196.42000000000004,0.9197952218430034,33.518771331058026,917,255.83500000000004,27.899127589967286
0.3,0.75,331,59.41499999999999,0.07250755287009064,17.95015105740181,21,19.949999999999996,1.0,94.99999999999999,352,79.36499999999998,22.546874999999993
0.3,0.8,331,59.41499999999999,0.07250755287009064,17.95015105740181,0,0.0,,,331,59.41499999999999,17.95015105740181
0.35,0.5,25,24.074999999999996,0.12,96.29999999999998,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39386,938.3649999999992,2.3824836236226052
0.35,0.55,25,24.074999999999996,0.12,96.29999999999998,22678,1056.539999999999,0.8788693888349942,4.658876444130872,22703,1080.614999999999,4.759789455138084
0.35,0.6,25,24.074999999999996,0.12,96.29999999999998,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12347,986.0949999999993,7.986514942901104
0.35,0.65,25,24.074999999999996,0.12,96.29999999999998,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3693,644.0649999999996,17.44015705388572
0.35,0.7,25,24.074999999999996,0.12,96.29999999999998,586,196.42000000000004,0.9197952218430034,33.518771331058026,611,220.49500000000003,36.08756137479542
0.35,0.75,25,24.074999999999996,0.12,96.29999999999998,21,19.949999999999996,1.0,94.99999999999999,46,44.02499999999999,95.70652173913041
0.35,0.8,25,24.074999999999996,0.12,96.29999999999998,0,0.0,,,25,24.074999999999996,96.29999999999998
0.4,0.5,4,10.299999999999999,0.25,257.5,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39365,924.5899999999991,2.3487615902451395
0.4,0.55,4,10.299999999999999,0.25,257.5,22678,1056.539999999999,0.8788693888349942,4.658876444130872,22682,1066.839999999999,4.703465302883339
0.4,0.6,4,10.299999999999999,0.25,257.5,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12326,972.3199999999993,7.888366055492449
0.4,0.65,4,10.299999999999999,0.25,257.5,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3672,630.2899999999995,17.164760348583865
0.4,0.7,4,10.299999999999999,0.25,257.5,586,196.42000000000004,0.9197952218430034,33.518771331058026,590,206.72000000000006,35.03728813559323
0.4,0.75,4,10.299999999999999,0.25,257.5,21,19.949999999999996,1.0,94.99999999999999,25,30.249999999999993,120.99999999999997
0.4,0.8,4,10.299999999999999,0.25,257.5,0,0.0,,,4,10.299999999999999,257.5
0.45,0.5,0,0.0,,,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39361,914.2899999999992,2.3228322451157215
0.45,0.55,0,0.0,,,22678,1056.539999999999,0.8788693888349942,4.658876444130872,22678,1056.539999999999,4.658876444130872
0.45,0.6,0,0.0,,,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12322,962.0199999999993,7.8073364713520474
0.45,0.65,0,0.0,,,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3668,619.9899999999996,16.90267175572518
0.45,0.7,0,0.0,,,586,196.42000000000004,0.9197952218430034,33.518771331058026,586,196.42000000000004,33.518771331058026
0.45,0.75,0,0.0,,,21,19.949999999999996,1.0,94.99999999999999,21,19.949999999999996,94.99999999999999
0.45,0.8,0,0.0,,,0,0.0,,,0,0.0,
0.5,0.5,0,0.0,,,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39361,914.2899999999992,2.3228322451157215
0.5,0.55,0,0.0,,,22678,1056.539999999999,0.8788693888349942,4.658876444130872,22678,1056.539999999999,4.658876444130872
0.5,0.6,0,0.0,,,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12322,962.0199999999993,7.8073364713520474
0.5,0.65,0,0.0,,,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3668,619.9899999999996,16.90267175572518
0.5,0.7,0,0.0,,,586,196.42000000000004,0.9197952218430034,33.518771331058026,586,196.42000000000004,33.518771331058026
0.5,0.75,0,0.0,,,21,19.949999999999996,1.0,94.99999999999999,21,19.949999999999996,94.99999999999999
0.5,0.8,0,0.0,,,0,0.0,,,0,0.0,
0.55,0.5,0,0.0,,,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39361,914.2899999999992,2.3228322451157215
0.55,0.55,0,0.0,,,22678,1056.539999999999,0.8788693888349942,4.658876444130872,22678,1056.539999999999,4.658876444130872
0.55,0.6,0,0.0,,,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12322,962.0199999999993,7.8073364713520474
0.55,0.65,0,0.0,,,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3668,619.9899999999996,16.90267175572518
0.55,0.7,0,0.0,,,586,196.42000000000004,0.9197952218430034,33.518771331058026,586,196.42000000000004,33.518771331058026
0.55,0.75,0,0.0,,,21,19.949999999999996,1.0,94.99999999999999,21,19.949999999999996,94.99999999999999
0.55,0.8,0,0.0,,,0,0.0,,,0,0.0,
0.6,0.5,0,0.0,,,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39361,914.2899999999992,2.3228322451157215
0.6,0.55,0,0.0,,,22678,1056.539999999999,0.8788693888349942,4.658876444130872,22678,1056.539999999999,4.658876444130872
0.6,0.6,0,0.0,,,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12322,962.0199999999993,7.8073364713520474
0.6,0.65,0,0.0,,,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3668,619.9899999999996,16.90267175572518
0.6,0.7,0,0.0,,,586,196.42000000000004,0.9197952218430034,33.518771331058026,586,196.42000000000004,33.518771331058026
0.6,0.75,0,0.0,,,21,19.949999999999996,1.0,94.99999999999999,21,19.949999999999996,94.99999999999999
0.6,0.8,0,0.0,,,0,0.0,,,0,0.0,
0.65,0.5,0,0.0,,,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39361,914.2899999999992,2.3228322451157215
0.65,0.55,0,0.0,,,22678,1056.539999999999,0.8788693888349942,4.658876444130872,22678,1056.539999999999,4.658876444130872
0.65,0.6,0,0.0,,,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12322,962.0199999999993,7.8073364713520474
0.65,0.65,0,0.0,,,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3668,619.9899999999996,16.90267175572518
0.65,0.7,0,0.0,,,586,196.42000000000004,0.9197952218430034,33.518771331058026,586,196.42000000000004,33.518771331058026
0.65,0.75,0,0.0,,,21,19.949999999999996,1.0,94.99999999999999,21,19.949999999999996,94.99999999999999
0.65,0.8,0,0.0,,,0,0.0,,,0,0.0,
0.7,0.5,0,0.0,,,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39361,914.2899999999992,2.3228322451157215
0.7,0.55,0,0.0,,,22678,1056.539999999999,0.8788693888349942,4.658876444130872,22678,1056.539999999999,4.658876444130872
0.7,0.6,0,0.0,,,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12322,962.0199999999993,7.8073364713520474
0.7,0.65,0,0.0,,,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3668,619.9899999999996,16.90267175572518
0.7,0.7,0,0.0,,,586,196.42000000000004,0.9197952218430034,33.518771331058026,586,196.42000000000004,33.518771331058026
0.7,0.75,0,0.0,,,21,19.949999999999996,1.0,94.99999999999999,21,19.949999999999996,94.99999999999999
0.7,0.8,0,0.0,,,0,0.0,,,0,0.0,
0.75,0.5,0,0.0,,,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39361,914.2899999999992,2.3228322451157215
0.75,0.55,0,0.0,,,22678,1056.539999999999,0.8788693888349942,4.658876444130872,22678,1056.539999999999,4.658876444130872
0.75,0.6,0,0.0,,,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12322,962.0199999999993,7.8073364713520474
0.75,0.65,0,0.0,,,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3668,619.9899999999996,16.90267175572518
0.75,0.7,0,0.0,,,586,196.42000000000004,0.9197952218430034,33.518771331058026,586,196.42000000000004,33.518771331058026
0.75,0.75,0,0.0,,,21,19.949999999999996,1.0,94.99999999999999,21,19.949999999999996,94.99999999999999
0.75,0.8,0,0.0,,,0,0.0,,,0,0.0,
0.8,0.5,0,0.0,,,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39361,914.2899999999992,2.3228322451157215
0.8,0.55,0,0.0,,,22678,1056.539999999999,0.8788693888349942,4.658876444130872,22678,1056.539999999999,4.658876444130872
0.8,0.6,0,0.0,,,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12322,962.0199999999993,7.8073364713520474
0.8,0.65,0,0.0,,,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3668,619.9899999999996,16.90267175572518
0.8,0.7,0,0.0,,,586,196.42000000000004,0.9197952218430034,33.518771331058026,586,196.42000000000004,33.518771331058026
0.8,0.75,0,0.0,,,21,19.949999999999996,1.0,94.99999999999999,21,19.949999999999996,94.99999999999999
0.8,0.8,0,0.0,,,0,0.0,,,0,0.0,
0.85,0.5,0,0.0,,,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39361,914.2899999999992,2.3228322451157215
0.85,0.55,0,0.0,,,22678,1056.539999999999,0.8788693888349942,4.658876444130872,22678,1056.539999999999,4.658876444130872
0.85,0.6,0,0.0,,,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12322,962.0199999999993,7.8073364713520474
0.85,0.65,0,0.0,,,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3668,619.9899999999996,16.90267175572518
0.85,0.7,0,0.0,,,586,196.42000000000004,0.9197952218430034,33.518771331058026,586,196.42000000000004,33.518771331058026
0.85,0.75,0,0.0,,,21,19.949999999999996,1.0,94.99999999999999,21,19.949999999999996,94.99999999999999
0.85,0.8,0,0.0,,,0,0.0,,,0,0.0,
0.9,0.5,0,0.0,,,39361,914.2899999999992,0.8700998450242626,2.3228322451157215,39361,914.2899999999992,2.3228322451157215
0.9,0.55,0,0.0,,,22678,1056.539999999999,0.8788693888349942,4.658876444130872,22678,1056.539999999999,4.658876444130872
0.9,0.6,0,0.0,,,12322,962.0199999999993,0.8875182600227236,7.8073364713520474,12322,962.0199999999993,7.8073364713520474
0.9,0.65,0,0.0,,,3668,619.9899999999996,0.9004907306434023,16.90267175572518,3668,619.9899999999996,16.90267175572518
0.9,0.7,0,0.0,,,586,196.42000000000004,0.9197952218430034,33.518771331058026,586,196.42000000000004,33.518771331058026
0.9,0.75,0,0.0,,,21,19.949999999999996,1.0,94.99999999999999,21,19.949999999999996,94.99999999999999
0.9,0.8,0,0.0,,,0,0.0,,,0,0.0,
